Naam;Breedtegraad (latitude);Lengtegraad (longitude)
Hilversum Sportpark;52.216158;5.187367
Hilversum;52.2291696;5.1668974
Soest Zuid;52.160428;5.3032473
Soest;52.1653466;5.3036188
Soestdijk;52.1933738;5.2792751
Baarn;52.2131825;5.2864096
Rhenen;51.9621397;5.5711155
Veenendaal Centrum;52.0200763;5.5490586
Veenendaal West;52.0281017;5.5315679
Den Dolder;52.1390592;5.2428279
Bilthoven;52.1365344;5.2103806
Utrecht Overvecht;52.1179619;5.1080379
Utrecht Centraal;52.0893191;5.1101691
Bunnik;52.0665285;5.2007761
Driebergen-Zeist;52.0652455;5.2602392
Maarn;52.0655445;5.3768954
Veenendaal-de Klomp;52.0459528;5.5739271
Barneveld Noord;52.1611568;5.598379
Barneveld Centrum;52.1404556;5.5897695
Lunteren;52.0882573;5.6173006
Ede Centrum;52.0430417;5.6680281
Ede-Wageningen;52.0277348;5.6722729
Wolfheze;52.0024191;5.7861376
Oosterbeek;51.9858013;5.8462813
Brummen;52.0901666;6.1580145
Dieren;52.0527254;6.0955819
Rheden;52.0057368;6.0279594
Velp;51.994333;5.9776939
Arnhem Presikhaaf;51.987598;5.942913
Arnhem Centraal;51.9835984;5.9038497
Arnhem Velperpoort;51.985118;5.919826
Duiven;51.941859;6.0235313
Zevenaar;51.9294445;6.076959
Didam;51.9411937;6.1298591
Wehl;51.9619155;6.2107418
Doetinchem De Huet;51.9592322;6.2599701
Doetinchem;51.9646995;6.2937736
Gaanderen;51.9302044;6.3477531
Terborg;51.9202661;6.3560252
Varsseveld;51.9435959;6.4630534
Aalten;51.9266666;6.5806785
Winterswijk;51.9713139;6.720509
Winterswijk West;51.9746836;6.7037162
Lichtenvoorde-Groenlo;52.0122561;6.5950987
Ruurlo;52.081603;6.4548904
Vorden;52.1044492;6.3140488
Twello;52.2375538;6.0981404
Apeldoorn Osseveld;52.21682;5.998815
Apeldoorn;52.211157;5.9699231
Apeldoorn De Maten;52.205198;6.000468
Klarenbeek;52.1679007;6.0642918
Voorst-Empe;52.1575224;6.1439192
Zutphen;52.142736;6.1960584
Lochem;52.1614115;6.4155986
Goor;52.2370207;6.5872492
Delden;52.2599979;6.7092109
Rijssen;52.3081686;6.5213493
Holten;52.282724;6.4222585
Deventer Colmschate;52.25035;6.2156789
Deventer;52.2660751;6.1552165
Olst;52.3377894;6.1141253
Wijhe;52.387959;6.1350152
Glanerbrug;52.2128876;6.9672559
Enschede De Eschmarke;52.2212722;6.9514664
Enschede;52.2215372;6.8936619
Enschede Kennispark;52.237419;6.8387936
Oldenzaal;52.3116551;6.9268283
Hengelo Oost;52.2690072;6.8197673
Hengelo;52.2574121;6.7927725
Borne;52.3002366;6.7537258
Almelo de Riet;52.342207;6.666479
Wierden;52.3582599;6.593873
Nijverdal;52.3638863;6.4627523
Raalte;52.3798566;6.2862366
Heino;52.4338808;6.2328879
Almelo;52.3670267;6.6684919
Vriezenveen;52.4085238;6.6146301
Daarlerveen;52.4427788;6.5770881
Vroomshoop;52.456752;6.5657522
Geerdijk;52.4840227;6.5588242
Emmen;52.7858037;6.8975851
Emmen Zuid;52.7487147;6.8743301
Nieuw Amsterdam;52.7145064;6.863239
Dalen;52.6994032;6.7567822
Coevorden;52.6613567;6.7410616
Gramsbergen;52.6112646;6.674114
Hardenberg;52.5754084;6.6166947
MariÃ«nberg;;
Ommen;52.5248059;6.4262926
Dalfsen;52.5153863;6.2728712
Bad Nieuweschans;53.1662235;7.1816206
Winschoten;53.1424984;7.0367877
Scheemda;53.1763506;6.9723944
Zuidbroek;53.1704058;6.8621731
Sappemeer Oost;53.1683241;6.8082921
Hoogezand-Sappemeer;53.1637895;6.755887
Martenshoek;53.1633007;6.7311627
Kropswolde;53.1435452;6.7257669
Groningen Europapark;53.2047056;6.585821
Delfzijl;53.3310272;6.9244598
Delfzijl West;53.3320112;6.9070228
Appingedam;53.3206783;6.8544218
Loppersum;53.3321749;6.7479874
Stedum;53.3223306;6.6932859
Bedum;53.3016754;6.5998288
Roodeschool;53.4202348;6.7641787
Uithuizermeeden;53.4143783;6.7255617
Uithuizen;53.406165;6.6628402
Usquert;53.4034398;6.6120412
Warffum;53.393408;6.5592591
Baflo;53.3626014;6.514347
Winsum;53.329602;6.5251767
Sauwerd;53.294304;6.5328391
Groningen Noord;53.2301283;6.5565819
Haren;53.1718265;6.6052429
Assen;52.992753;6.5642284
Beilen;52.8599347;6.5146322
Delft Zuid;51.9911036;4.3646868
Hoogeveen;52.7286158;6.4901002
Groningen;53.2193835;6.5665018
Zuidhorn;53.2431482;6.4081044
Grijpskerk;53.2636135;6.306376
Buitenpost;53.2524947;6.1503754
De Westereen;53.2544938;6.0307255
Feanwalden;53.238471;5.9914692
Hurdegaryp;53.21487;5.941003
Leeuwarden Camminghaburen;53.2021437;5.8425552
Stavoren;52.8829456;5.3607068
Koudum-Molkwerum;52.9024767;5.4107682
Hindeloopen;52.9426846;5.4012542
Workum;52.9803166;5.4495924
IJlst;53.0113587;5.620591
Sneek;53.0337476;5.6556473
Sneek Noord;53.0401281;5.66273
Mantgum;53.1291256;5.7206493
Harlingen Haven;53.1747468;5.411442
Harlingen;53.1703923;5.4252094
Franeker;53.1888206;5.5564857
Dronryp;53.1966063;5.6449476
Deinum;53.1918429;5.7249778
Leeuwarden;53.2012334;5.7999133
Grou-Jirnsum;53.0898834;5.8222898
Akkrum;53.0493736;5.8341466
Heerenveen;52.9605613;5.9205217
Heerenveen IJsstadion;52.9361531;5.9431983
Wolvega;52.8765518;5.9958692
Steenwijk;52.7868939;6.1180686
Meppel;52.6921234;6.1937187
Kampen;52.5579645;5.9144617
Zwolle;52.5167747;6.0830219
Wezep;52.46246;6.0011665
't Harde;52.4154103;5.8839833
Nunspeet;52.3747719;5.769895
Harderwijk;52.3422025;5.6367423
Ermelo;52.3011045;5.6144134
Putten;52.258676;5.6053727
Nijkerk;52.2224835;5.4835625
Amersfoort Vathorst;52.198067;5.411415
Amersfoort Schothorst;52.1747501;5.4039967
Amersfoort;52.1561113;5.3878266
